,date,time,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,gls,sh,sot,sot%,g/sh,g/sot,dist,fk,pk,pkatt,npxg,npxg/sh,g-xg,np:g-xg,sota,saves,save%,cs,psxg,psxg+/-,pka,pksv,pkm,cmp,att,cmp%,att (gk),thr,launch%,avglen,att,launch%,avglen,opp,stp,stp%,#opa,avgdist,season,team
15,2023-12-10,14:00,Matchweek 16,Sun,Away,W,2.0,1.0,Luton Town,1.6,0.3,65.0,11047.0,Kyle Walker,4-2-3-1,Tim Robinson,Match Report,,2,18,6,33.3,0.11,0.33,18.7,1,0,0,1.6,0.09,0.4,0.4,2,1,50.0,0,0.9,-0.1,0,0,0,1,4,25.0,26,4,11.5,25.7,4,25.0,33.5,14,2,14.3,0,6.8,2023-2024,Manchester City
16,2023-12-16,15:00,Matchweek 17,Sat,Home,D,2.0,2.0,Crystal Palace,1.6,1.8,74.0,53248.0,Kyle Walker,4-2-3-1,Paul Tierney,Match Report,,2,19,9,47.4,0.11,0.22,18.2,0,0,0,1.6,0.08,0.4,0.4,2,0,50.0,0,1.9,-0.1,1,0,0,1,3,33.3,22,5,13.6,22.9,2,0.0,18.0,5,0,0.0,3,30.0,2023-2024,Manchester City
17,2023-12-27,20:15,Matchweek 19,Wed,Away,W,3.0,1.0,Everton,2.4,1.0,72.0,39327.0,Kyle Walker,4-2-3-1,John Brooks,Match Report,,3,22,8,36.4,0.09,0.25,19.5,1,1,1,1.8,0.09,0.6,0.2,2,1,50.0,0,0.6,-0.4,0,0,0,4,7,57.1,56,12,12.5,25.2,5,0.0,7.8,14,0,0.0,3,30.0,2023-2024,Manchester City
18,2023-12-30,15:00,Matchweek 20,Sat,Home,W,2.0,0.0,Sheffield Utd,2.2,0.3,80.0,53108.0,Kyle Walker,4-2-3-1,David Coote,Match Report,,2,18,4,22.2,0.11,0.5,17.4,0,0,0,2.2,0.12,-0.2,-0.2,2,2,100.0,1,0.2,0.2,0,0,0,2,2,100.0,24,5,8.3,25.3,0,,,6,1,16.7,1,23.5,2023-2024,Manchester City
19,2024-01-13,17:30,Matchweek 21,Sat,Away,W,3.0,2.0,Newcastle Utd,3.0,1.3,72.0,52190.0,Kyle Walker,4-2-3-1,Chris Kavanagh,Match Report,,3,27,11,40.7,0.11,0.27,19.3,2,0,0,3.0,0.11,0.0,0.0,5,3,60.0,0,2.0,0.0,0,0,0,3,7,42.9,27,3,18.5,27.6,4,50.0,31.5,8,0,0.0,3,21.8,2023-2024,Manchester City
20,2024-01-31,19:30,Matchweek 22,Wed,Home,W,3.0,1.0,Burnley,1.7,1.4,74.0,,Kevin De Bruyne,4-2-3-1,Samuel Barrott,Match Report,,3,14,4,28.6,0.21,0.75,15.8,1,0,0,1.7,0.13,1.3,1.3,3,2,66.7,0,1.1,0.1,0,0,0,2,3,66.7,37,4,8.1,23.4,4,0.0,7.0,7,1,14.3,1,15.8,2023-2024,Manchester City
0,2023-08-12,12:30,Matchweek 1,Sat,Home,W,2.0,1.0,Nott'ham Forest,0.8,1.2,78.0,59984.0,Martin Ødegaard,4-3-3,Michael Oliver,Match Report,,2,15,7,46.7,0.13,0.29,19.1,0,0,0,0.8,0.06,1.2,1.2,2,1,50.0,0,0.9,-0.1,0,0,0,1,6,16.7,23,4,21.7,28.7,8,12.5,20.6,3,1,33.3,0,3.3,2023-2024,Arsenal
1,2023-08-21,20:00,Matchweek 2,Mon,Away,W,1.0,0.0,Crystal Palace,2.0,1.0,53.0,24189.0,Martin Ødegaard,4-3-3,David Coote,Match Report,,1,13,2,15.4,0.0,0.0,16.4,0,1,1,1.2,0.09,-1.0,-1.2,2,2,100.0,1,0.2,0.2,0,0,0,4,13,30.8,24,5,41.7,35.4,7,42.9,40.9,15,1,6.7,3,21.4,2023-2024,Arsenal
2,2023-08-26,15:00,Matchweek 3,Sat,Home,D,2.0,2.0,Fulham,3.2,0.6,71.0,59961.0,Martin Ødegaard,4-3-3,Paul Tierney,Match Report,,2,18,9,50.0,0.06,0.11,13.8,0,1,1,2.4,0.14,-1.2,-1.4,3,1,33.3,0,0.4,-1.6,0,0,0,2,3,66.7,30,6,6.7,21.1,5,20.0,25.8,8,0,0.0,2,23.0,2023-2024,Arsenal
3,2023-09-03,16:30,Matchweek 4,Sun,Home,W,3.0,1.0,Manchester Utd,2.3,0.9,55.0,60192.0,Martin Ødegaard,4-3-3,Anthony Taylor,Match Report,,3,17,5,29.4,0.18,0.6,15.0,0,0,0,2.3,0.13,0.7,0.7,2,1,50.0,0,0.6,-0.4,0,0,0,2,5,40.0,27,6,18.5,25.7,1,0.0,19.0,2,0,0.0,0,,2023-2024,Arsenal
